label,content
neutral,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .
positive,"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki ."
neutral,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .
positive,"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum ."
neutral,"Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications ."
positive,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier ."
neutral,"It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent ."
neutral,"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group ."
positive,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area ."
negative,The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .
neutral,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .
neutral,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 ."
negative,The reduction notice applied to 17 people .
neutral,"The challenge for the company , however , is finding new sources of raw material , said Risto Rinne , CEO of Neste Oil ."
neutral,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .
neutral,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services ."
neutral,"The wireless industry is bracing itself for the iPhone , which will launch on June 29 ."
neutral,M-real will start statutory employer-employee negotiations at the +_+?nekoski board mill that concern about 130 people .
neutral,"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia ."
neutral,Neste Oil will offer outplacement services to the 111 employees to be reduced .
neutral,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .
neutral,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees ."
neutral,"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore ."
neutral,"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space ."
positive,HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .
positive,EBIT excluding non-recurring items was estimated to increase from 2009 .
positive,This assignment strengthens Poyry 's position as an international provider of engineering and project services to the chemical process industry .
neutral,"According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however ."
positive,"The chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year ."
positive,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn ."
positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ."
neutral,"One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network ."
neutral,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % ."
neutral,TN means that the handset supports TeliaSonera 's Telia Navigator global positioning system service .
neutral,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ."
positive,The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .
neutral,"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day ."
positive,The new policy was also aimed at making the companies more profitable and competitive .
neutral,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland ."
neutral,"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers ."
negative,Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .
positive,It will focus on improving its profitability next year by streamlining operations .
positive,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 ."
neutral,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world ."
positive,"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 ."
neutral,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .
positive,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .
neutral,"In Europe , the paper industry 's situation is paradoxical ."
neutral,The new chain has 700 discount stores and 250 supermarkets .
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 ."
neutral,No financial details of the deployment were disclosed .
positive,Consumption is forecast to grow by about 2 % .
neutral,Tekla Group 's net sales for 2005 were approximately 38 million euros .
neutral,` Nordic infrastructure construction is one of our strategic growth areas .
neutral,"The Swedish Maritime Administration has closed the Furusund Channel , which Viking Line normally charters en route to Stockholm ."
neutral,"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix ."
neutral,The group said it intends to initiate within this year the process of buyout of minority shareholders of Ragutis with the aim of becoming the sole owner of the company .
neutral,The final outcome of the rights offering is to be reported around 23 October 2009 .
neutral,The duration of the contract is 37 months .
neutral,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey ."
positive,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process ."
positive,"Last year , Lemminkainen completed the Kouvola K-supermarket contract ."
neutral,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .
neutral,As a consequence of the merger the number of administration personnel at the factories will be reduced by six .
neutral,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .
neutral,"Garmin fell 4.5 percent to $ 34.53 at 1:33 p.m. in New York , while Google slid 0.7 percent at $ 576.50 ."
positive,A realignment of interests in the sector is clearly under way .
neutral,"The company reported net sales of EUR550m in 2005 and had some 3,200 employees ."
negative,Finnish forest machinery manufacturer Ponsse has issued a profit warning .
positive,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .
neutral,The Kyroskoski investment is to be completed in late 2011 and the +_+?nekoski investment in the spring of 2012 .
positive,"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments ."
negative,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .
positive,Viking Line manages well with its current ferries .
neutral,The share of the share capital of both above mentioned shareholders remains below 5 % .
neutral,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .
neutral,Central Europe is an important market area for Honka .
neutral,BM4 middle layer headbox will be equipped with a dilution control system .
neutral,"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares ."
negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ."
neutral,"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers ."
negative,Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .
neutral,"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company ."
neutral,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households ."
negative,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS
neutral,Capital base and capital adequacy measurement is based on approaches under Basel II .
positive,`` Our design team has long admired Marimekko 's vivid patterns and colors .
negative,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 ."
neutral,A quick `` one-stop-shop '' to understand the company .
neutral,"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''"
negative,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .
positive,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 ."
positive,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M ."
neutral,"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses ."
neutral,Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .
neutral,"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent ."
positive,"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years ."
neutral,Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .
neutral,"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ."
neutral,"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot ."
neutral,According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .
positive,"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide ."
positive,Operating profit rose to 22.1 mln eur from 19.9 mln .
neutral,No more waste-burning facilities should be built .
positive,"`` We love Activision 's fresh , colorful approach to Rapala : We Fish , '' said Kelly Brockpahler , Rapala ."
neutral,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .
neutral,"The Company serves approximately 3,000 customers in over 100 countries ."
neutral,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said ."
neutral,"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class ."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
neutral,A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .
negative,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .
neutral,The Finnish company has also reached arrangements regarding the working hours and annual holidays .
neutral,"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation ."
neutral,Insurance policies should be simple .
neutral,`` Directors and shareholders alike should ask why these practices were allowed to continue . ''
neutral,Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .
neutral,"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system ."
positive,"Higher bit rates for outgoing traffic improves the end-user experience of mobile broadband services such as video conferencing , file sharing and sending e-mails with attachments ."
neutral,The beers differ slightly from mainstream beers .
neutral,"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures ."
neutral,"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds ."
negative,Korhonen was dismissed from her post of editor in chief of the group 's newspaper Lapin Kansa in December 2008 .
neutral,The GyPSii mobile social networking application is available in China with both Chinese and English language support .
positive,"O'Leary 's Material Handling Services , located in Perth , is the leading company in Western Australia that supplies , installs and provides service for tail lifts ."
negative,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 ."
positive,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .
positive,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .
positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .
positive,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .
neutral,"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 ."
neutral,The newspaper 's best sales asset is high quality journalism and journalistic content .
neutral,`` The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .
neutral,The total value of the deliveries is some EUR65m .
neutral,"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night ."
positive,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year ."
neutral,"Includes company and brand share data by category , as well as distribution channel data ."
negative,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year ."
neutral,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .
neutral,Bioheapleaching makes extraction of metals from low grade ore economically viable .
neutral,"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 ."
neutral,He is resting comfortably and is looking forward to getting back to work . ''
neutral,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .
positive,"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market ."
negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year ."
positive,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 ."
positive,"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained ."
neutral,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work ."
neutral,"Reporting in accordance with the merged business operations will start as of January 1 , 2011 ."
negative,"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today ."
neutral,The employee negotiations are to address measures needed to adjust the operations to the present production situation .
neutral,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .
positive,"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 ."
positive,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production ."
neutral,"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets ."
neutral,"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue ."
neutral,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .
neutral,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .
neutral,"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th ."
positive,Sales have risen in other export markets .
neutral,"Some 250 people , of whom more than 200 are workers , will be retiring from the Raahe Works between 2008 and 2011 ."
neutral,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis ."
negative,Net sales fell by 5 % from the previous accounting period .
neutral,The Board of Directors was authorized to decide on other terms of the share issue .
neutral,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 ."
positive,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said ."
neutral,Europe needs 17 new large paper machines .
positive,Efficiency programs totalling 100 million euros are under way in Finnair .
negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago ."
negative,"Finnish Bank of +_land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 ."
neutral,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore ."
positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 ."
neutral,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February ."
neutral,Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .
neutral,"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making ."
neutral,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ."
neutral,The new organization consists of two business units : Charging & Messaging and Finance & Administration .
neutral,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .
neutral,It is expected to be online by 2011 .
neutral,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day ."
positive,Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .
neutral,The expanded plant is scheduled to be operational by the middle of October 2009 .
positive,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .
neutral,"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company ."
neutral,The serial bond is part of the plan to refinance the short-term credit facility .
neutral,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections ."
neutral,"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden ."
neutral,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions ."
neutral,Number of offers received for this contract is two .
neutral,Completion of the transaction is subject to a final agreement and a Due Diligence process .
neutral,Lemmink+?inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .
neutral,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .
neutral,"GENEVA , Feb. 10 -- Tero Aaltonen , Finland has developed a radio resource control method ."
negative,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ."
negative,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan ."
positive,The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .
negative,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % ."
negative,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 ."
neutral,No financial details were available .
neutral,Aspo 's Group structure and business operations are continually developed without any predefined schedules .
neutral,"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action ."
positive,"By acquiring RCP , we can combine our strong knowhow with the expertise of a solid local company ."
neutral,"The contract includes design , construction , delivery of equipment , installation and commissioning ."
negative,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ."
positive,"Lule+_ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres ."
neutral,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite ."
neutral,"The 19,200-square metre technology center is located near University of Tampere in central Tampere ."
neutral,"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding ."
neutral,This allows devices such as mobile phones to become a few millimetres thinner .
neutral,"ISMS does not disclose its financial results , the daily said ."
positive,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .
negative,"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees ."
neutral,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .
neutral,Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .
positive,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 ."
neutral,"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October ."
neutral,We do hope that this will in the future turn out to be a novel method for the prevention of alcohol and tobacco smoking associated oral cancers .
neutral,Otherwise the situation is under control .
neutral,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style ."
neutral,Eriikka S+?derstr+?m has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .
neutral,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
positive,The Department Store Division reported an increase in sales of 4 per cent .
neutral,"The share capital of Basware Corporation is 11,720,829 ."
neutral,The sellers were the founders of the company .
negative,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .
positive,"Furthermore , our fully electrically driven cranes are environmentally friendly ."
positive,"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world ."
neutral,"Stora Enso said DeLight was suitable for a wide range of applications including food , cosmetics , home decoration and leisure products ."
neutral,"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors ."
neutral,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .
